Plaintext,Ciphertext,Algorithm,Key
DdClLbN6qfFRtpVyP033zCjp0FndJ53O,9HtvDQw6d0hnjkkokNpaAa7aO4zxbvPEfqpKr3PwnnMo6xtB3OlTug==,Blowfish,1a1ea0429141dc2bf9041d41f825553f
SJktYGKNee2MKBz1dsoyntoC0LrpmZOX,BDu9JxclhcofdpFkBRLTYVLD21dg2tqY/NFlN1CRpls=,RC4,ee1e67381c4dfbdef477a2b58726b3eb
32VKfI0uqZgPUmWgHgPFFcwDWG1ONHWM,603b2ef6a5f42bb1924fea4d22f1af6b49cf8abfaf385f88c7e62b9aa360d79c,SHA-256,N/A
qKIpLiJrQ81sTRK2U1OSH0i6OpiBYDul,7cJcDg85U4BuuCEreK+C7LouVenzQHJ8FFII3Ei2yp3Ud8zqXSAX6g==,3DES,4d78801cb57f077cff9bfaddc0342a3dd9acde28d2decb80
7yOAGHJ0f2KfEqcyVce6tJ5FJmuhXkLC,LMhm3BjIcUb/1eqdlvRyI/rcGWpF/2xvkdNsCosd+hIKdi536umsHwTozh0tNw5z,AES,3f3beaa14cfc3987dd370495a4956625
9mIZOggejHllQcz5bsxsYi2f2M1kMamQ,B+V0ntV/EnW5jjlVirkx35nhDD/RugVBH7xOVAg8RiKjKJJRKUTrkQ==,Blowfish,26a1e9939a8128c48bc0d17c7c4a5b4e
9tG5Sqf431FSPOQcp6CxdtxijMX0xPkz,/VqnpZoviIOFOlKecVwK5XFJqFSyXHjcLbcLljJw3y8=,RC4,d10de25061cd4799735b008363732cf9
rEmH95fnpO8Oe7WyCsjkwvK9q4P4HXRu,TvHWKUO9Dfq7cU90L3WYAoEvIUtLGdDUgwCSMXSlPwk=,ChaCha20,c3e4ebe6a5fe039305d4a01ac3c813fc4477dc73360c067e4553087ad74fee5a
oqfdt8r92EVowjoNNVpxCw5hcKcydGwH,OSlCpnYrXw8Khz0dH9z9mN+I8KOnofuIAFAKI0Fj4G0=,ChaCha20,53cc402a2f409fac9a77d08d073f0f4b5a46f986c624c6bdd1d289c9384a8ddd
buqT5d2GJhs79dgi49hTXSFN5FaDHGy9,c68f0e68898c773ee6ac45bc6dff845390ecb6db233f2ef1fb0f2ec5952bb96b,SHA-256,N/A
Lf1BvyifxQSavtAvEzcVmdNjcwe47p1Q,J1AGdHOTs0qmIjZACLdRvGR1kWvtEOy0CbA8LyVSn29etN1Co7TSUw==,Blowfish,2c130195e5bbe1d0b3fceccc52fc9e2e
eNCjDePR6BhMZM5RPdJuMsC0GkMllJ4f,h4jTmTVA6QMjmajTBah97vjSc+61uE85gs92e/WDuwIX0eParfnAa1P7F8JdubarsF10y8IvVgTlknQWWRtkhZr9ssTySvtzn5QP3X1WFl1a6NUlua7RNu/k16SoI7oJTgfvpczuWpJb7FZKksuYkfr1uYuF73JqqBdKAjsYPJzAkHNkBWeJhoRpVrspvlybEhzEvtbvyGM27VlMQBXQVvb5dcZWYx4qV7b0YK54ASbQc6wits8fYwBoNmo8zqM6XKjaSRfeiBDwsuTIlo2/AJUGTLDqq5pbEOYm28NEg1H2yrTKGor3vS09JcS/8rHIRGuwQn26vEyrArO1wLoAJA==,RSA,"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAoy/UMlP9b65JZO39BW1P
PM+rA9D1USedhkzp+KDs8QvNv/2yOUJeH9mOrHdu2LeXlxZflWGWycbuTGBAX2Pi
7Rrqm6IvDpgABiSeAXhP4aTp9HVWppui77HlsQrhhq8JMHYGOGdsmB0YWK3VxxW6
fN5juRYVb2t9lEaEp221Igi/scSQ4ol4+Lgm/tM5Anx9wz2tukIvhG+A20AzNF5M
ypB22TFHvwZYis5wqd0Ps8nS9+Nw+JxzVpQgv1KN5LwZVvsS37JT1y/HK9e+yZb7
Bxd0BZ/k/2EN1Ke7lF7fxR4dOwNo1O7A4kipLhtIVrwLB8buui7U8ab8R+ID1gMc
TQIDAQAB
-----END PUBLIC KEY-----"
skJHpKk9pueU3sZidpeTACtuXyTDwMN9,9uWnLcogsfhwvAuMM/bHCRAaUmI9RHXnc903/5qTI0pOQi2KyNuTug==,3DES,14ac3874ea6559e2c291ad5e9777eb8252409d509feebb97
elGLIcMSTbGqlScCjryKV7ZvinGuS6PP,ure3ygHd9V5xKGCWraFwaPkAtbt45mahsd6UFUHjgXs=,ChaCha20,983f9107b90e7583c3a9f80f45878f8c89816f8bc4da2fcd58ff93456922aeb8
yFnjR70Ztb4y2AwOuDSivuoGEhcM4L2y,QbBIRvwd0PKFHd8BQ9sH+STwKAo9lwhooDF8fdEKxmyGNrqZ5FzQpA==,3DES,72b31c60126b8efd48ae64c867b92326735d63ca1a88a72e
5Y2TkbRCcLgPQizJUgblvRWUjNSN9aEl,PD3g3ke4N162B0UVvgXuomosHXVF7zJL/jOLc/K110EaMLuka0Ew1cQ3t1w4Sd32cxumtEItZ+MG+Aw9jGEX6Y1ybIjPL+1n4BsH2uMEULL6r1h+g8SsqyTbaJpC8cHcowDzm8kldiHjVLwrY5BImwaaBeJiUUIrWRKpgGFb4rnZGcqoiR+/zv7gqYZj1oXEoIdFGUQUuMLHYjxvAE9AIqijVYCnFnV/OwGnxWhywvvTv7LgqyCB9TOYz73GpBOBJF795Xci3wWsDcNh0ck4xdduULnX65KZ4HuTBfM/lPT4wJbo9NGznnWhJ7P/wAyWIksuoucqyZY5HzgJP7MOiw==,RSA,"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsWI9aAnJFbvUHg1mA3Yv
+wPvSFcERVfnYbuZjLnrMK4tlKb6I1utxIHkoDvk/s8p1BkowOJf0acTMcV1Z2Eb
U6tE2AmTLGxe8LkpS17Gk2Mr3g9MnwcRDgCRvPOlgQ8fKVlcwcGWrHzXoFo22Tk9
QcrZpVNWwX/G3tWlUg+K2KhcdTeRCpqTEcuG23M9102L30zl7bPnDZDU4Zvjie6a
9326vOfHFiia80llyEFUPwQ0uH43lTe+KCMS4tVjpw0ZlNaDWYTjPzFySbY0J1U2
pWjs7oqzBxoVmNPk2P76X1NCN1twFZx8oydEGPXdP7lib1/mPAV3XCxN+dLbCU0o
RwIDAQAB
-----END PUBLIC KEY-----"
t81rkcoAf7vqxQFEEcLqtHHU52LC1aOj,sGFUAawocFyOK2skddvvyk2k94mrAyXfGFyFrGPtd6o=,ChaCha20,7c59428b0b982978e0b8d5f10edb50256759e6738c3066a095baa6d26e012c93
pDARSt5MCwjWtY8sg8NejsY00qPsrbcK,JeN8Nfb1H0yA/470hv862/9nVMdeuSgx23hx9S6tYuixANd/5r/UGA==,3DES,76b4715380223f2d353bf0c0b7faea1e1c45ae9feb5a5640
1ApSaXvFODVNQVc14DSUIXlHI4S4MyTl,0oq5OjjFHAvrIlBoHzx85r/KxRBcFiGhF/s6BqT60ac=,RC4,63b48bea59b912339cae5f7d30b27db0
SaK2Ln6yKUlkrey6NpN4tnP5lQktsdJl,hZq+mCm8JvvbH/2vlrnVdOBc8Er9phx6IyfyiQS2Eko=,ChaCha20,f8f1d53a024adf211bb70aa91b024c8360d7139614e58304a3ca15dd67c0f0df
leGzh2kvueFAnBf0DhpUtlpVwLSm6sIF,CTXS66uR1ezUwkH10EjMmn6jJDnKgO/mamJQeMyXaGo=,RC4,08cfb99e4b03ad0eae18ee4a3e0c32d1
PsbrcXMFsqUIQcQLGHSAK9eFDySeS3YO,Wm+nEawin+vHQzYvzL+xEnkIo/UTKuoeIgFiEeR/ItZcnMYRspChLA==,Blowfish,0dbde4d95b123ad4bde3b0a8cfdc14d8
